CountryCode,Year,GDPFactor
CHN,2019,1.1327231053418463
CHN,2020,1.1460996205248635
CHN,2021,1.2516102438345533
CHN,2022,1.3230244534114926
CHN,2023,1.3971881304709621
CHN,2024,1.4740999502693601
CHN,2025,1.553791155649276
CHN,2026,1.6377905412267038
CHN,2027,1.7263310112038797
CHN,2028,1.8196580607994157
CHN,2029,1.9180304569302804
CHN,2030,2.0217209556920737
CHN,2031,2.1310170586269503
CHN,2032,2.2462218098760856
CHN,2033,2.3676546364269395
COL,2017,1
COL,2018,1.025153245
COL,2019,1.059210526276601
COL,2020,1.0339353820143782
COL,2021,1.0726575917117178
COL,2022,1.1134459447645855
COL,2023,1.1573157149883102
COL,2024,1.2017566384438614
COL,2025,1.2479040933601055
COL,2026,1.2958236105451335
COL,2027,1.3455832371900667
COL,2028,1.3972536334981653
COL,2029,1.4509081730244948
COL,2030,1.5066230468686355
COL,2031,1.564477371868391
COL,2032,1.6245533029481372
COL,2033,1.6869361497813455
COM,2017,1
COM,2018,1.036390123
COM,2019,1.0557240709105058
COM,2020,1.0434780179654393
COM,2021,1.0757829443584392
COM,2022,1.1144646221070924
COM,2023,1.1558034739374157
COM,2024,1.1995486832738795
COM,2025,1.2456613211115468
COM,2026,1.2935466051102227
COM,2027,1.3432726787238376
COM,2028,1.394910304953538
COM,2029,1.4485329670474172
COM,2030,1.5042169730713133
COM,2031,1.562041564499482
COM,2032,1.622089028979673
COM,2033,1.6844448174330837
COD,2017,1
COD,2018,1.058155574
COD,2019,1.1045084852508105
COD,2020,1.0797836651854165
COD,2021,1.118027531581214
COD,2022,1.1681014836931485
COD,2023,1.218782194791514
COD,2024,1.2770128670174965
COD,2025,1.3317854391578927
COD,2026,1.3889072708369825
COD,2027,1.4484791245379658
COD,2028,1.5106060845645375
COD,2029,1.5753977424088113
COD,2030,1.6429683900698908
COD,2031,1.7134372216640996
COD,2032,1.7869285436825106
COD,2033,1.8635719942666642
COG,2017,1
COG,2018,1.015902302
COG,2019,1.0067365439310045
COG,2020,0.9802998053786965
COG,2021,1.0149263335000078
COG,2022,1.0466674461616396
COG,2023,1.0403231279567728
COG,2024,1.037067141276064
COG,2025,1.030589652060735
COG,2026,1.024152621042243
COG,2027,1.0177557955199443
COG,2028,1.0113989243715564
COG,2029,1.0050817580432985
COG,2030,0.9988040485400945
COG,2031,0.9925655494158386
COG,2032,0.9863660157637194
COG,2033,0.9802052042066057
CRI,2017,1
CRI,2018,1.026603753
CRI,2019,1.0487388482616309
CRI,2020,1.0342515897377829
CRI,2021,1.0644360703492963
CRI,2022,1.0968935915961477
CRI,2023,1.1304659581779242
CRI,2024,1.1666788830183934
CRI,2025,1.2071023252942372
CRI,2026,1.248926371205934
CRI,2027,1.2921995492912413
CRI,2028,1.3369720695193479
CRI,2029,1.3832958815496192
CRI,2030,1.4312247350089065
CRI,2031,1.4808142418573649
CRI,2032,1.5321219409151399
CRI,2033,1.5852073646247937
CIV,2017,1
CIV,2018,1.06793488
CIV,2019,1.14162238672
CIV,2020,1.1827207926419199
CIV,2021,1.2856175016017668
CIV,2022,1.3816529001315034
CIV,2023,1.4714171675135335
CIV,2024,1.5655377850796863
CIV,2025,1.6625528716179396
CIV,2026,1.7655799031285373
CIV,2027,1.8749914348875727
CIV,2028,1.9911831091146135
CIV,2029,2.1145750856515644
CIV,2030,2.245613561299521
CIV,2031,2.3847723833076784
CIV,2032,2.5325547628488114
CIV,2033,2.6894950946774276
HRV,2017,1
HRV,2018,1.026949725
HRV,2019,1.056928785400358
HRV,2020,0.9747314908339265
HRV,2021,1.0226747284910385
HRV,2022,1.0582449059228454
HRV,2023,1.0818746818333613
HRV,2024,1.1036771905696245
HRV,2025,1.1252003791278764
HRV,2026,1.1471432987901797
HRV,2027,1.1695141348771818
HRV,2028,1.1923212323342842
HRV,2029,1.215573098844539
HRV,2030,1.2392784080022523
HRV,2031,1.2634460025484766
HRV,2032,1.2880848976695993
HRV,2033,1.3132042843602592
CYP,2017,1
CYP,2018,1.040570462
CYP,2019,1.0741812427571276
CYP,2020,1.0255647439152524
CYP,2021,1.0792901878052046
CYP,2022,1.1213358819520747
CYP,2023,1.1538031520903673
CYP,2024,1.1824165449120805
CYP,2025,1.2115463082402271
CYP,2026,1.241393706242216
CYP,2027,1.2719764184137337
CYP,2028,1.3033125597987738
CYP,2029,1.335420691719714
CYP,2030,1.3683198327717343
CYP,2031,1.4020294700880944
CYP,2032,1.4365695708829371
CYP,2033,1.4719605942784602
CZE,2017,1
CZE,2018,1.028460577
CZE,2019,1.0536473245578886
CZE,2020,1.0327337432782175
CZE,2021,1.0841256808068414
CZE,2022,1.1113812985992637
CZE,2023,1.1392775504465247
CZE,2024,1.1678269332993965
CZE,2025,1.1970420462790132
CZE,2026,1.2269880233978911
CZE,2027,1.257683148425476
CZE,2028,1.2891461625298017
CZE,2029,1.3213962757200683
CZE,2030,1.3544531785754756
CZE,2031,1.3883370542674733
CZE,2032,1.4230685908827656
CZE,2033,1.4586689940545987
DNK,2017,1
DNK,2018,1.023893805
DNK,2019,1.0469518187443523
DNK,2020,1.0239188787319764
DNK,2021,1.0577082017301316
DNK,2022,1.076746949361274
DNK,2023,1.0961283944497768
DNK,2024,1.1153106413526481
DNK,2025,1.1351631707687253
DNK,2026,1.1553690752084087
DNK,2027,1.1759346447471184
DNK,2028,1.196866281423617
DNK,2029,1.2181705012329576
DNK,2030,1.2398539361549041
DNK,2031,1.2619233362184616
DNK,2032,1.2843855716031503
DNK,2033,1.3072476347776862
