Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,Capacity.MW,PowerOutput.MWy,PrimaryEnergyInputToPower.MWy,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,CapEx.USD_kW
bgd.hyd,BGD,hyd,2018,93,1086,230,123.97260273972603,123.38720165369584,0.4444273873337304,0.828435183850336,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
bgd.ore,BGD,ore,2018,-0,0,0,0,-0,NA,NA,0,NA,NA,NA,NA,NA
bgd.ore,BGD,ore,2018,-0,0,0,0,-0,0.3870123456790123,1,0,0.16052295344406187,0.0024790123456790124,0.0024790123456790124,0.15804394109838288,5036.543209876543
bgd.bio,BGD,bio,2018,-0,0,0,0,-0,0.761,0.35,0,0.17909624203225066,0.11831214678857142,0.00849,0.06078409524367925,2937
bgr.coa,BGR,coa,2018,4893,18659,4495,2130.0228310502284,6491.758899908966,0.4725643383566723,0.3272112741191034,0.9,0.08911454656189009,0.04815889869801486,0.00398,0.04095564786387523,1758
bgr.nga,BGR,nga,2018,617,2017,983.265,230.25114155251143,818.6011120465628,0.22602786165288896,0.2714939939826106,0.9,0.07603187264388978,0.05159324445771378,0.003275,0.024438628186176006,944.5
bgr.oil,BGR,oil,2018,71,338,74,38.58447488584475,94.19883137002587,0.46244600765148713,0.3632848101032726,0,NA,NA,NA,NA,NA
bgr.nuc,BGR,nuc,2018,4186,16125,1926,1840.7534246575342,5553.750818520117,0.9571355744747437,0.33192758852107995,0,0.17679620487006686,0.00405,0.00405,0.17274620487006684,7251.25
bgr.wnd,BGR,wnd,2018,113,1318,701,150.45662100456622,149.92208372975946,0.2244497749464236,1,0,0.06889577404391473,0.0030185185185185185,0.0030185185185185185,0.06587725552539621,1664.8148148148148
bgr.sol,BGR,sol,2018,115,1343,1036,153.31050228310502,152.57557193736582,0.12159724793286437,0.8256547706743103,0,0.07744859670739546,0,0,0.07744859670739546,965
bgr.hyd,BGR,hyd,2018,443,5147,3204,587.5570776255707,587.7476379848093,0.19244009699633452,1,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
bgr.ore,BGR,ore,2018,71,312,0,35.61643835616438,94.19883137002587,NA,NA,0,NA,NA,NA,NA,NA
bgr.ore,BGR,ore,2018,71,312,0,35.61643835616438,94.19883137002587,0.3870123456790123,1,0,0.16052295344406187,0.0024790123456790124,0.0024790123456790124,0.15804394109838288,5036.543209876543
bgr.bio,BGR,bio,2018,389,1280,179.26255707762556,146.11872146118722,516.1034563794375,1,0.3473384160904211,0,0.17909624203225066,0.11831214678857142,0.00849,0.06078409524367925,2937
bhr.coa,BHR,coa,2018,-0,0,0,0,-0,0.6726666666666666,0.35936507936507933,0.9,0.08911454656189009,0.04815889869801486,0.00398,0.04095564786387523,1758
bhr.nga,BHR,nga,2018,8676,29544,6971,3372.6027397260273,11510.831844596401,0.4754116172086707,0.28791093713330534,0.9,0.07603187264388978,0.05159324445771378,0.003275,0.024438628186176006,944.5
bhr.oil,BHR,oil,2018,1,2,0.23607305936073059,0.228310502283105,1.326744103803181,1,0.17793413114406528,0,NA,NA,NA,NA,NA
bhr.nuc,BHR,nuc,2018,-0,0,0,0,-0,0.9,0.33,0,0.17679620487006686,0.00405,0.00405,0.17274620487006684,7251.25
bhr.wnd,BHR,wnd,2018,-0,0,1,0,-0,0.3437037037037037,1,0,0.06889577404391473,0.0030185185185185185,0.0030185185185185185,0.06587725552539621,1664.8148148148148
bhr.sol,BHR,sol,2018,-0,0,6,0,-0,0.17733333333333334,1,0,0.07744859670739546,0,0,0.07744859670739546,965
bhr.hyd,BHR,hyd,2018,-0,0,0,0,-0,0.64,1,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
bhr.ore,BHR,ore,2018,-0,0,0,0,-0,NA,NA,0,NA,NA,NA,NA,NA
bhr.ore,BHR,ore,2018,-0,0,0,0,-0,0.3870123456790123,1,0,0.16052295344406187,0.0024790123456790124,0.0024790123456790124,0.15804394109838288,5036.543209876543
bhr.bio,BHR,bio,2018,-0,0,0,0,-0,0.761,0.35,0,0.17909624203225066,0.11831214678857142,0.00849,0.06078409524367925,2937
bih.coa,BIH,coa,2018,3328,12437,2065,1419.7488584474886,4415.404377456987,0.6878664300640154,0.32170194542867303,0.9,0.08911454656189009,0.04815889869801486,0.00398,0.04095564786387523,1758
bih.nga,BIH,nga,2018,6,25,2.557317351598174,2.853881278538813,7.960464622819087,1,0.3212522726710562,0.9,0.07603187264388978,0.05159324445771378,0.003275,0.024438628186176006,944.5
bih.oil,BIH,oil,2018,11,47,230,5.365296803652968,14.594185141834993,0.021097379392495536,0.3324883995314218,0,NA,NA,NA,NA,NA
bih.nuc,BIH,nuc,2018,-0,0,0,0,-0,0.9,0.33,0,0.17679620487006686,0.00405,0.00405,0.17274620487006684,7251.25
bih.wnd,BIH,wnd,2018,9,103,50.6,11.757990867579908,11.940696934228633,0.23462739365062177,0.9942590607663221,0,0.06889577404391473,0.0030185185185185185,0.0030185185185185185,0.06587725552539621,1664.8148148148148
bih.sol,BIH,sol,2018,2,21,18,2.3972602739726026,2.653488207606362,0.13318112633181126,0.9034373196386293,0,0.07744859670739546,0,0,0.07744859670739546,965
bih.hyd,BIH,hyd,2018,552,6418,2184.6,732.648401826484,732.362745299356,0.3406472957025455,1,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
bih.ore,BIH,ore,2018,2,7,0,0.7990867579908676,2.653488207606362,NA,NA,0,NA,NA,NA,NA,NA
bih.ore,BIH,ore,2018,2,7,0,0.7990867579908676,2.653488207606362,0.3870123456790123,1,0,0.16052295344406187,0.0024790123456790124,0.0024790123456790124,0.15804394109838288,5036.543209876543
bih.bio,BIH,bio,2018,5,1,0.91324200913242,0.1141552511415525,6.633720519015907,1,0.1376666391830292,0,0.17909624203225066,0.11831214678857142,0.00849,0.06078409524367925,2937
blr.coa,BLR,coa,2018,32,26,70,2.9680365296803655,42.455811321701795,0.040769732550554466,0.0672200386635885,0.9,0.08911454656189009,0.04815889869801486,0.00398,0.04095564786387523,1758
blr.nga,BLR,nga,2018,10302,37890,7588.3,4325.342465753424,13668.117757380372,0.5690172617338023,0.31590843478672037,0.9,0.07603187264388978,0.05159324445771378,0.003275,0.024438628186176006,944.5
blr.oil,BLR,oil,2018,126,264,1410,30.136986301369863,167.16975707920082,0.021373749149907705,0.1802777417873002,0,NA,NA,NA,NA,NA
blr.nuc,BLR,nuc,2018,-0,0,0,0,-0,0.91,0.33,0,0.07780054719628723,0.0037,0.0037,0.07410054719628724,5590
